iata,lon,iso,status,name,continent,type,lat,size
KIF,-89.85,CA,1,Kingfisher Lake Airport,NA,airport,53.01389,small
YOG,-85.916664,CA,1,Ogoki Post Airport,NA,airport,51.666668,small
PRM,,CO,1,Proma Heliport,SA,heliport,,
ISG,,CO,1,Isa Giron Heliport,SA,heliport,,
API,-73.05194,CO,1,Apiay Airport,SA,airport,4.068889,small
APO,-76.71766,CO,1,,SA,airport,7.817678,small
ARQ,-71.43166,CO,1,El Troncal Airport,SA,airport,7.033056,small
LCR,-73.01667,CO,1,La Chorrera Airport,SA,airport,-0.733333,small
SNT,-73,CO,1,Las Cruces Airport,SA,airport,7.666667,small
TCD,-69.76667,CO,1,,SA,airport,-2.933333,small
YEB,,CA,1,Bar River Airport,NA,airport,,small
YHP,-94.3,CA,1,Poplar Hill Airport,NA,airport,52.083332,small
YNX,,CA,1,Snap Lake Airport,NA,airport,,small
YKU,-78.924065,CA,1,Chisasibi Airport,NA,airport,53.806824,small
ZTB,-59.333332,CA,1,,NA,airport,50.716667,small
YAU,-73.31694,CA,1,Donaldson Airport,NA,airport,61.662777,small
TR7,,CA,1,Ottawa / Rockcliffe Seaplane Base,NA,seaplanes,,
ZLT,-58.97601,CA,1,,NA,airport,50.828056,small
PST,-75.666664,CU,1,Preston Airport,NA,airport,20.75,small
AJA,8.794013,FR,1,Ajaccio - Campo dell'Oro Airport,EU,airport,41.91987,medium
NIC,,CY,,Nicosia International Airport,AS,closed,,
YAC,-91.816666,CA,1,Cat Lake Airport,NA,airport,51.716667,medium
YAG,-93.44722,CA,1,Fort Frances Municipal Airport,NA,airport,48.65278,medium
YAH,-73.65,CA,1,La Grande-4 Airport,NA,airport,53.75,medium
YAL,-126.916664,CA,1,Alert Bay Airport,NA,airport,50.583332,medium
YAM,-84.49995,CA,1,Sault Ste Marie Airport,NA,airport,46.485302,medium
XKS,-88.64667,CA,1,Kasabonika Airport,NA,airport,53.52,medium
YKG,-70.0046,CA,1,Kangirsuk Airport,NA,airport,60.023083,medium
YAT,-82.4,CA,1,Attawapiskat Airport,NA,airport,52.941666,medium
YAV,-123.3,CA,1,Winnipeg / St. Andrews Airport,NA,airport,48.86667,medium
YAW,,CA,1,Halifax / CFB Shearwater Heliport,NA,heliport,,
YAX,-89.565,CA,1,Lac Du Bonnet Airport,NA,airport,53.251945,medium
YAY,-55.583332,CA,1,St Anthony Airport,NA,airport,51.36667,medium
YAZ,-125.77639,CA,1,Tofino / Long Beach Airport,NA,airport,49.076942,medium
YBB,-89.85,CA,1,Kugaaruk Airport,NA,airport,68.88333,medium
YBC,-68.26667,CA,1,Baie Comeau Airport,NA,airport,49.2,medium
QBC,-126.666664,CA,1,Bella Coola Airport,NA,airport,52.333332,medium
YBE,-108.48333,CA,1,Uranium City Airport,NA,airport,59.566666,medium
YBY,-110.73333,CA,1,Bonnyville Airport,NA,airport,54.266666,medium
YBG,-70.98861,CA,1,CFB Bagotville,NA,airport,48.322224,medium
YBK,-96.083336,CA,1,Baker Lake Airport,NA,airport,64.3,medium
YBL,-125.26813,CA,1,Campbell River Airport,NA,airport,49.951725,medium
YBN,,CA,1,CFB Borden,NA,heliport,,
XTL,-98.51344,CA,1,Tadoule Lake Airport,NA,airport,58.707954,medium
YBR,-99.94677,CA,1,Brandon Municipal Airport,NA,airport,49.908688,medium
YBT,-101.67899,CA,1,Brochet Airport,NA,airport,57.88847,medium
YBV,-97.02141,CA,1,Berens River Airport,NA,airport,52.358696,medium
YBX,-57.216667,CA,1,Lourdes de Blanc Sablon Airport,NA,airport,51.433334,medium
YRF,-57.03828,CA,1,Cartwright Airport,NA,airport,53.682606,medium
YCB,-105.13333,CA,1,Cambridge Bay Airport,NA,airport,69.1,medium
YCC,-74.566666,CA,1,Cornwall Regional Airport,NA,airport,45.1,medium
YCD,-123.86667,CA,1,Nanaimo Airport,NA,airport,49.05,medium
YCE,-81.48333,CA,1,James T. Field Memorial Aerodrome,NA,airport,43.283333,medium
YCG,-117.632225,CA,1,Castlegar/West Kootenay Regional Airport,NA,airport,49.295555,medium
YCH,-65.44744,CA,1,Miramichi Airport,NA,airport,47.014008,medium
YCL,-66.32881,CA,1,Charlo Airport,NA,airport,47.99093,medium
YCN,-81.01289,CA,1,Cochrane Airport,NA,airport,49.106018,medium
YCO,-115.083336,CA,1,Kugluktuk Airport,NA,airport,67.833336,medium
YCQ,-121.63333,CA,1,Chetwynd Airport,NA,airport,55.683334,medium
